state_name1,state_name2,state_name1_alpha_3,state_name2_alpha_3,y,x,yend,xend,pairs,n
Mexico,El Salvador,MEX,SLV,23,-102,13.83333333,-88.91666666,Mexico-El Salvador,76
Mexico,Nicaragua,MEX,NIC,23,-102,13,-85,Mexico-Nicaragua,79
Mexico,Costa Rica,MEX,CRI,23,-102,10,-84,Mexico-Costa Rica,79
Mexico,Panama,MEX,PAN,23,-102,9,-80,Mexico-Panama,79
Mexico,Colombia,MEX,COL,23,-102,4,-72,Mexico-Colombia,79
Mexico,Ecuador,MEX,ECU,23,-102,-2,-77.5,Mexico-Ecuador,79
Mexico,Peru,MEX,PER,23,-102,-10,-76,Mexico-Peru,79
Mexico,Brazil,MEX,BRA,23,-102,-10,-55,Mexico-Brazil,79
Mexico,Paraguay,MEX,PRY,23,-102,-23,-58,Mexico-Paraguay,79
Mexico,Chile,MEX,CHL,23,-102,-30,-71,Mexico-Chile,79
Mexico,Argentina,MEX,ARG,23,-102,-34,-64,Mexico-Argentina,79
Mexico,Uruguay,MEX,URY,23,-102,-33,-56,Mexico-Uruguay,79
Guatemala,Panama,GTM,PAN,15.5,-90.25,9,-80,Guatemala-Panama,86
Guatemala,Colombia,GTM,COL,15.5,-90.25,4,-72,Guatemala-Colombia,79
Guatemala,Ecuador,GTM,ECU,15.5,-90.25,-2,-77.5,Guatemala-Ecuador,79
Guatemala,Peru,GTM,PER,15.5,-90.25,-10,-76,Guatemala-Peru,79
Guatemala,Brazil,GTM,BRA,15.5,-90.25,-10,-55,Guatemala-Brazil,79
Guatemala,Paraguay,GTM,PRY,15.5,-90.25,-23,-58,Guatemala-Paraguay,79
Guatemala,Chile,GTM,CHL,15.5,-90.25,-30,-71,Guatemala-Chile,79
Guatemala,Argentina,GTM,ARG,15.5,-90.25,-34,-64,Guatemala-Argentina,79
Guatemala,Uruguay,GTM,URY,15.5,-90.25,-33,-56,Guatemala-Uruguay,79
Honduras,Panama,HND,PAN,15,-86.5,9,-80,Honduras-Panama,86
Honduras,Colombia,HND,COL,15,-86.5,4,-72,Honduras-Colombia,79
Honduras,Ecuador,HND,ECU,15,-86.5,-2,-77.5,Honduras-Ecuador,79
Honduras,Peru,HND,PER,15,-86.5,-10,-76,Honduras-Peru,79
Honduras,Brazil,HND,BRA,15,-86.5,-10,-55,Honduras-Brazil,79
Honduras,Paraguay,HND,PRY,15,-86.5,-23,-58,Honduras-Paraguay,79
Honduras,Chile,HND,CHL,15,-86.5,-30,-71,Honduras-Chile,79
Honduras,Argentina,HND,ARG,15,-86.5,-34,-64,Honduras-Argentina,79
Honduras,Uruguay,HND,URY,15,-86.5,-33,-56,Honduras-Uruguay,79
El Salvador,Panama,SLV,PAN,13.83333333,-88.91666666,9,-80,El Salvador-Panama,83
El Salvador,Colombia,SLV,COL,13.83333333,-88.91666666,4,-72,El Salvador-Colombia,76
El Salvador,Ecuador,SLV,ECU,13.83333333,-88.91666666,-2,-77.5,El Salvador-Ecuador,76
El Salvador,Peru,SLV,PER,13.83333333,-88.91666666,-10,-76,El Salvador-Peru,76
El Salvador,Brazil,SLV,BRA,13.83333333,-88.91666666,-10,-55,El Salvador-Brazil,76
El Salvador,Paraguay,SLV,PRY,13.83333333,-88.91666666,-23,-58,El Salvador-Paraguay,76
